Date,Area Planted,Area Harvested,Yield,Beginning Stocks,Production,Imports,Total Supply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South Korea Imports,South Korea DomesticFeed,South Korea DomesticTotal,South Korea Exports,South Korea EndingStocks,South Africa BeginningStocks,South Africa Production,South Africa Imports,South Africa DomesticFeed,South Africa DomesticTotal,South Africa Exports,South Africa EndingStocks,Canada BeginningStocks,Canada Production,Canada Imports,Canada DomesticFeed,Canada DomesticTotal,Canada Exports,Canada EndingStocks,Ukraine BeginningStocks,Ukraine Production,Ukraine Imports,Ukraine DomesticFeed,Ukraine DomesticTotal,Ukraine Exports,Ukraine EndingStocks,Egypt BeginningStocks,Egypt Production,Egypt Imports,Egypt DomesticFeed,Egypt DomesticTotal,Egypt Exports,Egypt EndingStocks,Southeast Asia BeginningStocks,Southeast Asia Production,Southeast Asia Imports,Southeast Asia DomesticFeed,Southeast Asia DomesticTotal,Southeast Asia Exports,Southeast Asia EndingStocks,European Union BeginningStocks,European Union Production,European Union Imports,European Union DomesticFeed,European Union DomesticTotal,European Union Exports,European Union EndingStocks
2007/5/11,90.5,82.9,150.3,937,12460,15,13412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,7.1,9.2,0,1.28,0.38,10.5,0.25,4.35,8.9,0.75,1.48,1.57,11.5,1.6,9.2,13.1,0.2,1.37,1.07,7,0,4.5,5.1,2.5,0.47,0.49,5.98,4.3,8.3,10.4,0,0.37,2.25,17.08,4.2,15.5,21.35,0.24,1.95,10.42,55.37,3.5,45.3,60.3,0.3,8.69
2007/6/11,90.5,82.9,150.3,987,12460,15,13462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,7.1,9.2,0,1.28,0.38,10.5,0.25,4.35,8.9,0.75,1.48,1.57,11.5,1.6,9.2,13.1,0.2,1.37,1.07,7.5,0,5,5.6,2.5,0.47,0.49,5.98,4.3,8.3,10.4,0,0.37,2.25,17.08,4.2,15.5,21.35,0.24,1.95,10.72,55.72,3.5,45.8,60.8,0.3,8.84
2007/7/12,92.9,85.4,150.3,1137,12840,15,13992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,7.1,9.2,0,1.28,0.71,10.5,0.25,4.35,8.9,0.75,1.81,1.44,11.2,1.6,8.7,12.6,0.2,1.44,1.07,6.5,0,5,5.6,1.5,0.47,0.49,5.98,4.3,8.3,10.4,0,0.37,2.27,17.08,4.2,15.5,21.35,0.24,1.97,10.72,55.23,3.5,45.8,60.8,0.3,8.35
2007/8/10,92.9,85.4,152.8,1137,13054,15,14206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,7.1,9.2,0,1.28,0.71,10.5,0.25,4.35,8.9,0.75,1.81,1.44,11.2,1.6,8.7,12.6,0.2,1.44,1.07,6.5,0,5,5.6,1.5,0.47,0.69,5.98,4.5,8.6,10.7,0,0.47,2.22,17.08,4.2,15.5,21.35,0.24,1.92,10.72,48.43,6,45.8,60.8,0.3,4.05
2007/9/12,92.9,85.4,155.8,1142,13308,15,14465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,7.1,9.2,0,1.28,0.91,10.5,0.25,4.35,8.9,0.75,2.01,1.49,10.57,1.7,8.2,12.1,0.2,1.46,1.07,6.5,0,5,5.6,1.5,0.47,0.69,5.98,4.5,8.6,10.7,0,0.47,2.13,17.03,4.2,15.5,21.35,0.24,1.77,10.62,46.94,8,46.5,61.5,0.3,3.76
2007/10/12,93.6,86.1,154.7,1304,13318,15,14637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,7.1,9.2,0,1.28,0.91,10.5,0.25,4.35,8.9,0.75,2.01,1.59,10.56,2,8.5,12.4,0.2,1.55,1.07,6.5,0,5,5.6,1.5,0.47,0.69,5.98,4.5,8.6,10.7,0,0.47,2.09,17.03,4.2,15.5,21.35,0.24,1.74,10.37,46.39,9.5,46,61,0.3,4.96
2007/11/9,93.6,86.1,153,1304,13168,15,14487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,7,8.9,0,1.31,1.31,10.5,0.25,4.35,8.9,1,2.16,1.34,10.56,2.3,8.5,12.4,0.2,1.6,1.07,7,0,5,5.6,1.5,0.97,0.89,5.98,4.5,8.6,10.7,0,0.67,2.03,17.03,4.2,15.5,21.35,0.24,1.68,9.83,46.91,9.5,46,61,0.3,4.94
2007/12/11,93.6,86.1,153,1304,13168,15,14487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,7,8.9,0,1.31,2.01,10,0.25,4.8,9.2,0.8,2.26,1.34,11.65,2.3,9.6,13.5,0.2,1.59,1.07,7.4,0,5,5.6,1.5,1.37,0.89,5.98,4.5,8.6,10.7,0,0.67,2.03,17.03,4.2,15.5,21.35,0.24,1.68,9.85,47.26,9.5,46,61,0.3,5.31
2008/1/11,93.6,86.5,151.1,1304,13074,15,14393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,7,8.9,0,1.31,2.01,10,0.25,4.8,9.2,0.8,2.26,1.34,11.65,2,9.2,12.7,0.4,1.89,1.05,7.4,0,5,5.6,1.5,1.35,0.89,5.98,4.5,8.6,10.7,0,0.67,2.03,17.03,4.2,15.5,21.35,0.24,1.68,9.9,47.37,10,46.6,61.6,0.3,5.36
2008/2/8,93.6,86.5,151.1,1304,13074,15,14393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,7,8.9,0,1.31,1.91,11,0.25,4.5,9.1,1.5,2.56,1.34,11.65,2,9.2,12.7,0.4,1.89,1.07,7.4,0,5,5.6,1.5,1.37,0.91,5.98,4.5,8.6,10.7,0,0.69,1.91,17.03,4.2,15.5,21.35,0.24,1.56,10.08,47.5,10,46.6,61.6,0.3,5.67
